Tag,Class,Text,Link
div,container,"Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours ISTFlash News:Second selection list of students for YUVIKA -2023Flash News:4th edition of Space Economy Leaders Meeting G20 SELMFlash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
div,row,"Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours ISTFlash News:Second selection list of students for YUVIKA -2023Flash News:4th edition of Space Economy Leaders Meeting G20 SELMFlash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
div,col-12 mt-2 mb-0,"Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours ISTFlash News:Second selection list of students for YUVIKA -2023Flash News:4th edition of Space Economy Leaders Meeting G20 SELMFlash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
div,carousel slide,"Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours ISTFlash News:Second selection list of students for YUVIKA -2023Flash News:4th edition of Space Economy Leaders Meeting G20 SELMFlash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
div,carousel-inner,"Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours ISTFlash News:Second selection list of students for YUVIKA -2023Flash News:4th edition of Space Economy Leaders Meeting G20 SELMFlash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
div,carousel-item active,Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.,
p,flashContent,Flash News:PSLV-C55/TeLEOS-2 Mission is accomplished successfully.,
b,flash,Flash News:,
a,light,PSLV-C55/TeLEOS-2 Mission is accomplished successfully.,PSLV_C55MissionLandingPage.html
div,carousel-item,"Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours IST",
p,flashContent,"Flash News:Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours IST",
b,flash,Flash News:,
a,light,"Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours IST",PSLV_C55Mission_LiveStreaming.html
div,carousel-item,Flash News:Second selection list of students for YUVIKA -2023,
p,flashContent,Flash News:Second selection list of students for YUVIKA -2023,
b,flash,Flash News:,
a,light,Second selection list of students for YUVIKA -2023,YUVIKA.html#list1
div,carousel-item,Flash News:4th edition of Space Economy Leaders Meeting G20 SELM,
p,flashContent,Flash News:4th edition of Space Economy Leaders Meeting G20 SELM,
b,flash,Flash News:,
a,light,4th edition of Space Economy Leaders Meeting G20 SELM,https://www.isro.gov.in/g20selm/index.html
div,carousel-item,"Flash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
p,flashContent,"Flash News:Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",
b,flash,Flash News:,
a,light,"Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",rozgar-mela-appointment-orders-issued-dec-2022.html
div,carousel-indicators mb-0 mt-0,,
button,active,,
button,active,,
button,active,,
button,active,,
button,active,,
section,d-flex align-items-center,,
video,back_video,,
div,features,"Press ReleasePress ReleaseMore
                      Info.CareersCome, become a part of the
                    workforce of the nation's prestigious space agency-be it in the technical or
                    administrative areas? ISRO has several openings for recruitment to a plethora of posts. All
                    recruitment notices will be published here.More
                      Info.StudentsISRO committed to
                    encourage students in creating awareness in the space technology and applications.They are the
                    future hopes for applying technologies for social and economic up-liftment of the country.Several
                    programmes are conceived for students to engage in STEM activities and learning.More
                      Info.TendersThis is a portal that
                    carries all notifications related to tenders, corrigendums etc.
                    for procurement related activities of all
                    ISRO Centres spread across the country. It will be a frequently updated portal.More
                      Info.",
